French,English
 partie,part
police,police
pensais,thought
demande,request
genre,kind
mettre,to put
aucun,no
laisse,leash
eux,them
arrivé,come
aucune,any
place,square
parle,speak
compris,understood
voici,here is
pourrais,could
donner,give
type,type
donné,given
dont,whose
premier,first
première,first
sois,be
tiens,here
matin,morning
tellement,so much
point,point
devant,in front of
vers,towards
chambre,bedroom
mis,placed
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
nouvelle,new
boulot,job
compte,account
donne,given
croire,believe
chérie,sweetheart
plutôt,rather
filles,girls
jouer,to play
